Name,Email,Role,HOD Email Relation,Role Task,Priority Assessment Keywords
Psy101 Instructor,psy101.instructor@vu.edu.pk,STAFF,psy.hod@vu.edu.pk,"Handle queries specifically related to PSY101 (Psychology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PSY101, PSY101 issue, PSY101 query, PSY101 assignment, PSY101 lecture, PSY101 assessment, PSY101 exam, PSY101 marks"
Psy201 Instructor,psy201.instructor@vu.edu.pk,STAFF,psy.hod@vu.edu.pk,"Handle queries specifically related to PSY201 (Psychology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PSY201, PSY201 issue, PSY201 query, PSY201 assignment, PSY201 lecture, PSY201 assessment, PSY201 exam, PSY201 marks"
Psy301 Instructor,psy301.instructor@vu.edu.pk,STAFF,psy.hod@vu.edu.pk,"Handle queries specifically related to PSY301 (Psychology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PSY301, PSY301 issue, PSY301 query, PSY301 assignment, PSY301 lecture, PSY301 assessment, PSY301 exam, PSY301 marks"
Psy401 Instructor,psy401.instructor@vu.edu.pk,STAFF,psy.hod@vu.edu.pk,"Handle queries specifically related to PSY401 (Psychology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PSY401, PSY401 issue, PSY401 query, PSY401 assignment, PSY401 lecture, PSY401 assessment, PSY401 exam, PSY401 marks"
Psy501 Instructor,psy501.instructor@vu.edu.pk,STAFF,psy.hod@vu.edu.pk,"Handle queries specifically related to PSY501 (Psychology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PSY501, PSY501 issue, PSY501 query, PSY501 assignment, PSY501 lecture, PSY501 assessment, PSY501 exam, PSY501 marks"
Psy601 Instructor,psy601.instructor@vu.edu.pk,STAFF,psy.hod@vu.edu.pk,"Handle queries specifically related to PSY601 (Psychology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PSY601, PSY601 issue, PSY601 query, PSY601 assignment, PSY601 lecture, PSY601 assessment, PSY601 exam, PSY601 marks"
Psy701 Instructor,psy701.instructor@vu.edu.pk,STAFF,psy.hod@vu.edu.pk,"Handle queries specifically related to PSY701 (Psychology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PSY701, PSY701 issue, PSY701 query, PSY701 assignment, PSY701 lecture, PSY701 assessment, PSY701 exam, PSY701 marks"
Pad101 Instructor,pad101.instructor@vu.edu.pk,STAFF,pa.hod@vu.edu.pk,"Handle queries specifically related to PAD101 (Public Administration) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAD101, PAD101 issue, PAD101 query, PAD101 assignment, PAD101 lecture, PAD101 assessment, PAD101 exam, PAD101 marks"
Pad201 Instructor,pad201.instructor@vu.edu.pk,STAFF,pa.hod@vu.edu.pk,"Handle queries specifically related to PAD201 (Public Administration) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAD201, PAD201 issue, PAD201 query, PAD201 assignment, PAD201 lecture, PAD201 assessment, PAD201 exam, PAD201 marks"
Pad301 Instructor,pad301.instructor@vu.edu.pk,STAFF,pa.hod@vu.edu.pk,"Handle queries specifically related to PAD301 (Public Administration) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAD301, PAD301 issue, PAD301 query, PAD301 assignment, PAD301 lecture, PAD301 assessment, PAD301 exam, PAD301 marks"
Pad401 Instructor,pad401.instructor@vu.edu.pk,STAFF,pa.hod@vu.edu.pk,"Handle queries specifically related to PAD401 (Public Administration) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAD401, PAD401 issue, PAD401 query, PAD401 assignment, PAD401 lecture, PAD401 assessment, PAD401 exam, PAD401 marks"
Pad501 Instructor,pad501.instructor@vu.edu.pk,STAFF,pa.hod@vu.edu.pk,"Handle queries specifically related to PAD501 (Public Administration) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAD501, PAD501 issue, PAD501 query, PAD501 assignment, PAD501 lecture, PAD501 assessment, PAD501 exam, PAD501 marks"
Pad601 Instructor,pad601.instructor@vu.edu.pk,STAFF,pa.hod@vu.edu.pk,"Handle queries specifically related to PAD601 (Public Administration) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAD601, PAD601 issue, PAD601 query, PAD601 assignment, PAD601 lecture, PAD601 assessment, PAD601 exam, PAD601 marks"
Pad701 Instructor,pad701.instructor@vu.edu.pk,STAFF,pa.hod@vu.edu.pk,"Handle queries specifically related to PAD701 (Public Administration) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAD701, PAD701 issue, PAD701 query, PAD701 assignment, PAD701 lecture, PAD701 assessment, PAD701 exam, PAD701 marks"
Soc101 Instructor,soc101.instructor@vu.edu.pk,STAFF,soc.hod@vu.edu.pk,"Handle queries specifically related to SOC101 (Sociology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","SOC101, SOC101 issue, SOC101 query, SOC101 assignment, SOC101 lecture, SOC101 assessment, SOC101 exam, SOC101 marks"
Soc201 Instructor,soc201.instructor@vu.edu.pk,STAFF,soc.hod@vu.edu.pk,"Handle queries specifically related to SOC201 (Sociology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","SOC201, SOC201 issue, SOC201 query, SOC201 assignment, SOC201 lecture, SOC201 assessment, SOC201 exam, SOC201 marks"
Soc301 Instructor,soc301.instructor@vu.edu.pk,STAFF,soc.hod@vu.edu.pk,"Handle queries specifically related to SOC301 (Sociology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","SOC301, SOC301 issue, SOC301 query, SOC301 assignment, SOC301 lecture, SOC301 assessment, SOC301 exam, SOC301 marks"
Soc401 Instructor,soc401.instructor@vu.edu.pk,STAFF,soc.hod@vu.edu.pk,"Handle queries specifically related to SOC401 (Sociology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","SOC401, SOC401 issue, SOC401 query, SOC401 assignment, SOC401 lecture, SOC401 assessment, SOC401 exam, SOC401 marks"
Soc501 Instructor,soc501.instructor@vu.edu.pk,STAFF,soc.hod@vu.edu.pk,"Handle queries specifically related to SOC501 (Sociology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","SOC501, SOC501 issue, SOC501 query, SOC501 assignment, SOC501 lecture, SOC501 assessment, SOC501 exam, SOC501 marks"
Soc601 Instructor,soc601.instructor@vu.edu.pk,STAFF,soc.hod@vu.edu.pk,"Handle queries specifically related to SOC601 (Sociology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","SOC601, SOC601 issue, SOC601 query, SOC601 assignment, SOC601 lecture, SOC601 assessment, SOC601 exam, SOC601 marks"
Soc701 Instructor,soc701.instructor@vu.edu.pk,STAFF,soc.hod@vu.edu.pk,"Handle queries specifically related to SOC701 (Sociology) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","SOC701, SOC701 issue, SOC701 query, SOC701 assignment, SOC701 lecture, SOC701 assessment, SOC701 exam, SOC701 marks"
Sta101 Instructor,sta101.instructor@vu.edu.pk,STAFF,sta.hod@vu.edu.pk,"Handle queries specifically related to STA101 (Statistics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","STA101, STA101 issue, STA101 query, STA101 assignment, STA101 lecture, STA101 assessment, STA101 exam, STA101 marks"
Sta201 Instructor,sta201.instructor@vu.edu.pk,STAFF,sta.hod@vu.edu.pk,"Handle queries specifically related to STA201 (Statistics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","STA201, STA201 issue, STA201 query, STA201 assignment, STA201 lecture, STA201 assessment, STA201 exam, STA201 marks"
Sta301 Instructor,sta301.instructor@vu.edu.pk,STAFF,sta.hod@vu.edu.pk,"Handle queries specifically related to STA301 (Statistics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","STA301, STA301 issue, STA301 query, STA301 assignment, STA301 lecture, STA301 assessment, STA301 exam, STA301 marks"
Sta401 Instructor,sta401.instructor@vu.edu.pk,STAFF,sta.hod@vu.edu.pk,"Handle queries specifically related to STA401 (Statistics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","STA401, STA401 issue, STA401 query, STA401 assignment, STA401 lecture, STA401 assessment, STA401 exam, STA401 marks"
Sta501 Instructor,sta501.instructor@vu.edu.pk,STAFF,sta.hod@vu.edu.pk,"Handle queries specifically related to STA501 (Statistics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","STA501, STA501 issue, STA501 query, STA501 assignment, STA501 lecture, STA501 assessment, STA501 exam, STA501 marks"
Sta601 Instructor,sta601.instructor@vu.edu.pk,STAFF,sta.hod@vu.edu.pk,"Handle queries specifically related to STA601 (Statistics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","STA601, STA601 issue, STA601 query, STA601 assignment, STA601 lecture, STA601 assessment, STA601 exam, STA601 marks"
Sta701 Instructor,sta701.instructor@vu.edu.pk,STAFF,sta.hod@vu.edu.pk,"Handle queries specifically related to STA701 (Statistics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","STA701, STA701 issue, STA701 query, STA701 assignment, STA701 lecture, STA701 assessment, STA701 exam, STA701 marks"
Urd101 Instructor,urd101.instructor@vu.edu.pk,STAFF,urd.hod@vu.edu.pk,"Handle queries specifically related to URD101 (Urdu) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","URD101, URD101 issue, URD101 query, URD101 assignment, URD101 lecture, URD101 assessment, URD101 exam, URD101 marks"
Urd201 Instructor,urd201.instructor@vu.edu.pk,STAFF,urd.hod@vu.edu.pk,"Handle queries specifically related to URD201 (Urdu) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","URD201, URD201 issue, URD201 query, URD201 assignment, URD201 lecture, URD201 assessment, URD201 exam, URD201 marks"
Urd301 Instructor,urd301.instructor@vu.edu.pk,STAFF,urd.hod@vu.edu.pk,"Handle queries specifically related to URD301 (Urdu) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","URD301, URD301 issue, URD301 query, URD301 assignment, URD301 lecture, URD301 assessment, URD301 exam, URD301 marks"
Urd401 Instructor,urd401.instructor@vu.edu.pk,STAFF,urd.hod@vu.edu.pk,"Handle queries specifically related to URD401 (Urdu) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","URD401, URD401 issue, URD401 query, URD401 assignment, URD401 lecture, URD401 assessment, URD401 exam, URD401 marks"
Urd501 Instructor,urd501.instructor@vu.edu.pk,STAFF,urd.hod@vu.edu.pk,"Handle queries specifically related to URD501 (Urdu) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","URD501, URD501 issue, URD501 query, URD501 assignment, URD501 lecture, URD501 assessment, URD501 exam, URD501 marks"
Urd601 Instructor,urd601.instructor@vu.edu.pk,STAFF,urd.hod@vu.edu.pk,"Handle queries specifically related to URD601 (Urdu) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","URD601, URD601 issue, URD601 query, URD601 assignment, URD601 lecture, URD601 assessment, URD601 exam, URD601 marks"
Urd701 Instructor,urd701.instructor@vu.edu.pk,STAFF,urd.hod@vu.edu.pk,"Handle queries specifically related to URD701 (Urdu) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","URD701, URD701 issue, URD701 query, URD701 assignment, URD701 lecture, URD701 assessment, URD701 exam, URD701 marks"
Course Registration,course.registration@vu.edu.pk,STAFF,academic.hod@vu.edu.pk,"Course registration, add/drop, enrollment and registration status.","course registration, add course, drop course, registration error, enrollment"
Course Selection,course.selection@vu.edu.pk,STAFF,academic.hod@vu.edu.pk,"Course selection, electives and semester subject choices.","course selection, elective, subject selection, semester courses"
Academic Records,academic.records@vu.edu.pk,STAFF,academic.hod@vu.edu.pk,Academic records and student academic information.,"academic record, marks record, academic history, record correction"
Admission Application,admission.application@vu.edu.pk,STAFF,admissions.hod@vu.edu.pk,Admission applications and application status.,"admission application, application form, apply admission, application status"
Admission Verification,admission.verification@vu.edu.pk,STAFF,admissions.hod@vu.edu.pk,Admission document verification and verification status.,"document verification, admission verification, verify documents"
Admission Support,admission.support@vu.edu.pk,STAFF,admissions.hod@vu.edu.pk,General admission support and admission-related issues.,"admission help, admission issue, eligibility, admission support"
Fee Matters,fee.matters@vu.edu.pk,STAFF,finance.hod@vu.edu.pk,"Fee invoices, payments, dues and fee account issues.","fee, tuition fee, fee payment, dues, invoice, voucher, payment issue"
Scholarships Matters,scholarships.matters@vu.edu.pk,STAFF,finance.hod@vu.edu.pk,"Scholarship applications, eligibility and status.","scholarship, financial aid, scholarship application, eligibility, status"
Refund Matters,refund.matters@vu.edu.pk,STAFF,finance.hod@vu.edu.pk,"Fee refunds, refund eligibility and status.","refund, fee refund, refund request, refund status"
Datesheet Matters,datesheet.matters@vu.edu.pk,STAFF,examinations.hod@vu.edu.pk,"Examination datesheet, schedule and timings.","datesheet, date sheet, exam schedule, examination date, exam timing"
Result Matters,result.matters@vu.edu.pk,STAFF,examinations.hod@vu.edu.pk,"Results, missing results, grades and result corrections.","result, marks, missing result, grade, result correction"
Transcript Matters,transcript.matters@vu.edu.pk,STAFF,examinations.hod@vu.edu.pk,"Transcript requests, processing and status.","transcript, official transcript, transcript request, transcript status"
Login Support,login.support@vu.edu.pk,STAFF,technical.hod@vu.edu.pk,Portal login failures and account access problems.,"login, cannot login, unable to login, account access, sign in, login error"
Password Reset,password.reset@vu.edu.pk,STAFF,technical.hod@vu.edu.pk,"Forgotten passwords, password reset and credential recovery.","password, forgot password, reset password, password recovery, locked account"
LMS Support,lms.support@vu.edu.pk,STAFF,technical.hod@vu.edu.pk,"LMS access, course visibility and LMS errors.","LMS, LMS login, LMS access, course not showing, LMS error"
General Administration,general.administration@vu.edu.pk,STAFF,administration.hod@vu.edu.pk,General administrative requests and university administration.,"administration, administrative issue, office request, administrative support"
HR Matters,hr.matters@vu.edu.pk,STAFF,administration.hod@vu.edu.pk,"HR matters, employment records and staff requests.","HR, human resources, employee record, staff issue, leave, employment"
Campus Administration,campus.administration@vu.edu.pk,STAFF,administration.hod@vu.edu.pk,"Campus facilities, administration and operational matters.","campus, campus issue, facility, campus administration, operational issue"
Student Records,student.records@vu.edu.pk,STAFF,registrar.hod@vu.edu.pk,"Student records, enrollment records and official student information.","student record, enrollment record, student information, record request"
Degree Verification,degree.verification@vu.edu.pk,STAFF,registrar.hod@vu.edu.pk,Degree verification requests and verification status.,"degree verification, verify degree, degree check, verification letter"
Official Documents,official.documents@vu.edu.pk,STAFF,registrar.hod@vu.edu.pk,Requests for official academic or university documents.,"official document, document request, certificate, official papers, document issuance"
